,time,hash,latitude,longitude,serial,distance
0,2019-08-01T22:48:00Z,075be70b0c9febdacbaeeb7cd5008912aad9ce85c22f5ee3d6b77e40,60.16897,24.95222,00000000aa852af1,18.79
1,2019-08-01T22:48:00Z,0add92bb629361fdf34a91a86a1f9e3aed5f10895edae2bd32f97fb0,60.14699,24.922,00000000a53ed894,21.87
2,2019-08-01T22:48:00Z,14c7e1511b70f4dd3359cbece1377aebb4d70531f5489eefe53d7c3c,60.16544,24.95398,0000000038d83d41,27.28
3,2019-08-01T22:48:00Z,22581e1d9764b88a01034a4cab1a6b02fa4aa770025b9bd340685163,60.15432,24.9211,0000000019fb59c4,13.75
4,2019-08-01T22:48:00Z,24d2f2ddd119efcb13abb0ab2cb53850e9788b6713967ccca4d6e071,60.16897,24.95222,00000000aa852af1,29.32
5,2019-08-01T22:48:00Z,297c725b456ef12d2712634b21546721cbe93224d3a5762d897404f2,60.16762,24.95415,000000006b44cce7,10.78
6,2019-08-01T22:48:00Z,2c94897aa62344f630952ad6032f5d7976419125d126b15c1386c8b1,60.1538,24.95595,0000000038bf9618,29.32
7,2019-08-01T22:48:00Z,351407b43e2d2cbb60e7481f6fea88dcd24a9ea0d5a0f63e5073d365,60.16544,24.95398,0000000038d83d41,31.5
8,2019-08-01T22:48:00Z,3944bc7a301be7241d1f7bc4a97f221000d535ce3d8a9af9af9b23b5,60.16531,24.9442,00000000fdda10fe,27.28
9,2019-08-01T22:48:00Z,3a0b806cc80aa40bb0bf60877e444313b79bfea0bb0eb170a4da6bb8,60.16897,24.95222,00000000aa852af1,7.69
10,2019-08-01T22:48:00Z,41d3af8da554a2f22a1c6596e0da84fd612b70022b5d295e6b4928e7,60.15432,24.9211,0000000019fb59c4,10.78
11,2019-08-01T22:48:00Z,43b676ed3aef4c2d8846694817e76117873be52e7f788e0cb366c1c4,60.16629,24.95957,00000000fb7600be,25.36
12,2019-08-01T22:48:00Z,4d59670906bf66e3378f5e4bc3397b3bd73aab4b5df3a2bcd6622af0,60.16531,24.9442,00000000fdda10fe,21.87
13,2019-08-01T22:48:00Z,5802343c3c4b09ee3631f03e16ebb38a3b1999d65e3713eb82377455,60.16544,24.95398,0000000038d83d41,21.87
14,2019-08-01T22:48:00Z,59107c0fb745e0aacace35f3eb6888e9aa1cace3ca066219be32fe54,60.16897,24.95222,00000000aa852af1,25.36
15,2019-08-01T22:48:00Z,5bbb5184fded3e51bc78e45e39917794285e6bbc72da404802a9599a,60.16531,24.9442,00000000fdda10fe,16.1
16,2019-08-01T22:48:00Z,5d65719c4cbf045f068d084b72302f447d5fd034413d97d13be00d0e,60.18203,24.91341,00000000342570c2,18.79
17,2019-08-01T22:48:00Z,5eed115a984d490b02b602d73787aee8dc8c4e9365b77fbff3818a76,60.16629,24.95957,00000000fb7600be,20.28
18,2019-08-01T22:48:00Z,6011490fb2e02d0b9d936fa70a06572cb55ffd9a6a7c607cf75c5a71,60.16897,24.95222,00000000aa852af1,21.87
19,2019-08-01T22:48:00Z,693099b54f1d14b899f005c233a431270bde084ad2fe05abf597743a,60.16544,24.95398,0000000038d83d41,17.4
20,2019-08-01T22:48:00Z,6a54644283a4f5a6369abe947b4e9faf2ca3c25ef2ea42502cb60c5f,60.15432,24.9211,0000000019fb59c4,14.89
