,time,hash,latitude,longitude,serial,distance
0,2019-08-01T20:42:00Z,075be70b0c9febdacbaeeb7cd5008912aad9ce85c22f5ee3d6b77e40,60.16897,24.95222,00000000aa852af1,17.4
1,2019-08-01T20:42:00Z,0add92bb629361fdf34a91a86a1f9e3aed5f10895edae2bd32f97fb0,60.14699,24.922,00000000a53ed894,18.79
2,2019-08-01T20:42:00Z,14c7e1511b70f4dd3359cbece1377aebb4d70531f5489eefe53d7c3c,60.16544,24.95398,0000000038d83d41,21.87
3,2019-08-01T20:42:00Z,22581e1d9764b88a01034a4cab1a6b02fa4aa770025b9bd340685163,60.15432,24.9211,0000000019fb59c4,9.12
4,2019-08-01T20:42:00Z,24d2f2ddd119efcb13abb0ab2cb53850e9788b6713967ccca4d6e071,60.16897,24.95222,00000000aa852af1,29.32
5,2019-08-01T20:42:00Z,297c725b456ef12d2712634b21546721cbe93224d3a5762d897404f2,60.16762,24.95415,000000006b44cce7,10.78
6,2019-08-01T20:42:00Z,2c94897aa62344f630952ad6032f5d7976419125d126b15c1386c8b1,60.1538,24.95595,0000000038bf9618,27.28
7,2019-08-01T20:42:00Z,2f120bf2fdf8c860f6b71af3557e74561a72b06f0c3eb16b4c81123e,60.1538,24.95595,0000000038bf9618,29.32
8,2019-08-01T20:42:00Z,351407b43e2d2cbb60e7481f6fea88dcd24a9ea0d5a0f63e5073d365,60.16544,24.95398,0000000038d83d41,27.28
9,2019-08-01T20:42:00Z,41d3af8da554a2f22a1c6596e0da84fd612b70022b5d295e6b4928e7,60.15432,24.9211,0000000019fb59c4,9.92
10,2019-08-01T20:42:00Z,43acfaf266d852466b58a09836f83dab001c14b5e1533185cb45ca51,60.1538,24.95595,0000000038bf9618,20.28
11,2019-08-01T20:42:00Z,43b676ed3aef4c2d8846694817e76117873be52e7f788e0cb366c1c4,60.16629,24.95957,00000000fb7600be,23.56
12,2019-08-01T20:42:00Z,44f1947d0640fa977e6056a6b644c7fec2930ccd7ba2750d71429f00,60.16544,24.95398,0000000038d83d41,20.28
13,2019-08-01T20:42:00Z,47da0d27a831a3abd28bf4fb418f69fe43d8abbdebfb9ab927879b85,60.16531,24.9442,00000000fdda10fe,9.92
14,2019-08-01T20:42:00Z,5802343c3c4b09ee3631f03e16ebb38a3b1999d65e3713eb82377455,60.16544,24.95398,0000000038d83d41,25.36
15,2019-08-01T20:42:00Z,59107c0fb745e0aacace35f3eb6888e9aa1cace3ca066219be32fe54,60.16897,24.95222,00000000aa852af1,20.28
16,2019-08-01T20:42:00Z,5c53b5477992af1e0b2d1af467fc8df542695a341ea3ef9fd510fc53,60.16762,24.95415,000000006b44cce7,21.87
17,2019-08-01T20:42:00Z,5d65719c4cbf045f068d084b72302f447d5fd034413d97d13be00d0e,60.18203,24.91341,00000000342570c2,18.79
18,2019-08-01T20:42:00Z,5eed115a984d490b02b602d73787aee8dc8c4e9365b77fbff3818a76,60.16629,24.95957,00000000fb7600be,27.28
19,2019-08-01T20:42:00Z,6011490fb2e02d0b9d936fa70a06572cb55ffd9a6a7c607cf75c5a71,60.16897,24.95222,00000000aa852af1,21.87
20,2019-08-01T20:42:00Z,693099b54f1d14b899f005c233a431270bde084ad2fe05abf597743a,60.16544,24.95398,0000000038d83d41,11.7
21,2019-08-01T20:42:00Z,6a54644283a4f5a6369abe947b4e9faf2ca3c25ef2ea42502cb60c5f,60.15432,24.9211,0000000019fb59c4,11.7
22,2019-08-01T20:42:00Z,6f06341f358e61699fe1e55e986dd0554bc8da28b91daf0c5ad99db6,60.16629,24.95957,00000000fb7600be,20.28
